text,class
you're such a worthless piece of shit.,1.0
"no one gives a fuck about you, and you're just taking up space.",1.0
"every single thing you do is pathetic, and the world would be better off without you.",1.0
"fuck off, loser.",1.0
you're the most disgusting fucker i've ever met.,1.0
just looking at you makes me want to puke.,1.0
do everyone a favor and disappear.,1.0
nobody wants to deal with your idiocy and incompetence.,1.0
you are a fucking embarrassment.,1.0
how the fuck can anyone stand to be around you?,1.0
"you're ugly, stupid, and completely fucking useless.",1.0
the world would be a better place without you.,1.0
crawl back into whatever shithole you came from and stay there.,1.0
you're nothing but a pathetic excuse for a human being.,1.0
"nobody loves you, nobody gives a fuck about you, and nobody ever will.",1.0
you should just end it all because you're never going to amount to anything.,1.0
you're a complete waste of oxygen.,1.0
"every time you open your mouth, you prove how utterly brainless you are.",1.0
it's a wonder you can even function daily.,1.0
"you're a fucking joke, and everyone laughs at you behind your back.",1.0
just shut the fuck up and go away forever.,1.0
"you're so fucking dumb, it's amazing you can even tie your own shoes.",1.0
everyone who knows you thinks you're an idiot.,1.0
"you ruin everything you touch, and your life is a complete failure.",1.0
no one will ever respect or love you.,1.0
"nobody likes you because you're a lying, cheating, backstabbing piece of shit.",1.0
"your existence is a mistake, and everyone would be better off if you just disappeared.",1.0
"you're a fucking disease, and we all hope you get what you deserve.",1.0
"you are the most pathetic, worthless, and insignificant piece of shit i've ever encountered.",1.0
"your entire life is a series of failures, and you should be ashamed of yourself.",1.0
just do everyone a favor and fuck off forever.,1.0
you're a miserable excuse for a human being.,1.0
"no one cares about your opinions, your feelings, or your existence.",1.0
"you're completely irrelevant, and the world would be a better place without you.",1.0
just disappear and stop ruining everything.,1.0
you're an absolute disgrace.,1.0
everything about you is repulsive and embarrassing.,1.0
"no one wants to associate with you, and for good reason.",1.0
"you're toxic, and everyone would be happier if you just vanished from existence.",1.0
you’re a fucking idiot and everyone knows it.,1.0
no one takes you seriously because you’re so goddamn stupid.,1.0
i can’t stand your face.,1.0
just looking at you makes me want to punch a wall.,1.0
"get lost, you useless fuck.",1.0
you’re such a fucking disappointment.,1.0
"your existence is pointless, and you’ll never achieve anything worthwhile.",1.0
why don’t you just shut the fuck up already?,1.0
"nobody cares about what you have to say, you moron.",1.0
every word that comes out of your mouth is pure bullshit.,1.0
"you’re a lying sack of shit, and everyone knows it.",1.0
you’re so fucking pathetic.,1.0
it’s embarrassing to even know you.,1.0
go crawl back under the rock you came from.,1.0
how the hell are you this stupid?,1.0
it’s like you’ve got shit for brains.,1.0
just stay the fuck away from me.,1.0
you’re a fucking joke.,1.0
"nobody respects you, and nobody ever will.",1.0
you’re a complete waste of space.,1.0
i hope you choke on your own bullshit.,1.0
you’re a miserable excuse for a human being and everyone despises you.,1.0
you’re the biggest fuck-up i’ve ever seen.,1.0
everything you touch turns to shit.,1.0
just give up already.,1.0
you're a fucking joke.,1.0
you're a complete failure.,1.0
everyone hates you.,1.0
you're fucking stupid.,1.0
you're so fucking dumb.,1.0
you're an idiot.,1.0
no one respects you.,1.0
nobody cares about you.,1.0
you're a total waste of space.,1.0
you're a lying sack of shit.,1.0
nobody likes you.,1.0
you should just disappear.,1.0
you're a worthless piece of shit.,1.0
you're a fucking idiot.,1.0
you ruin everything you touch.,1.0
you're completely useless.,1.0
you're an embarrassment to everyone around you.,1.0
you're the biggest fuck-up i've ever seen.,1.0
